,HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN,BASKET_NUM,PURCHASE_,PRODUCT_NUM,SPEND,UNITS,STORE_R,WEEK_NUM,YEAR,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
108363,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,75774,2020-05-12,8118,1.58,1,EAST   ,19,2020,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
489312,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,36453,2019-06-09,8118,2.66,1,EAST   ,23,2019,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
309794,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,83182,2020-07-25,8436,0.5,1,EAST   ,29,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
395701,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,11982,2018-11-21,8436,0.64,1,EAST   ,46,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
402855,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,85335,2020-08-15,8436,0.61,1,EAST   ,32,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
855590,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,82030,2020-07-13,8487,1.77,3,EAST   ,28,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
198967,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,82030,2020-07-13,8497,1.65,1,EAST   ,28,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
733368,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,40197,2019-07-11,8473,1.0,2,EAST   ,27,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
151576,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,6252,2018-10-06,8494,1.07,1,EAST   ,39,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
245722,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,49810,2019-09-29,8494,2.16,1,EAST   ,39,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
118761,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,1120,2018-08-26,6583,3.65,1,EAST   ,34,2018,FOOD                      ,PRODUCE                   ,NATIONAL,N
148266,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,67229,2020-02-22,6583,3.29,1,EAST   ,7,2020,FOOD                      ,PRODUCE                   ,NATIONAL,N
182721,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,37929,2019-06-22,6583,5.52,1,EAST   ,24,2019,FOOD                      ,PRODUCE                   ,NATIONAL,N
408057,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,7283,2018-10-14,6583,3.47,1,EAST   ,41,2018,FOOD                      ,PRODUCE                   ,NATIONAL,N
424516,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,60524,2019-12-26,6583,6.5,1,EAST   ,51,2019,FOOD                      ,PRODUCE                   ,NATIONAL,N
579007,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,9591,2018-11-02,6583,5.57,1,EAST   ,43,2018,FOOD                      ,PRODUCE                   ,NATIONAL,N
751100,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,46892,2019-09-04,6583,6.71,1,EAST   ,35,2019,FOOD                      ,PRODUCE                   ,NATIONAL,N
